FlightNo,X,Y,Z
FL02781,6761.233,3893.062,7895.145
FL02782,7915.612,1399.256,7304.761
FL02783,6937.528,4567.687,256.816
FL02784,8228.293,9398.188,1434.621
FL02785,285.615,6591.402,2405.545
FL02786,4264.246,5120.971,3399.187
FL02787,4904.121,7897.102,4632.688
FL02788,2198.131,4564.287,9312.331
FL02789,9070.164,4911.151,8979.968
FL02790,2917.76,2270.175,2065.648
FL02791,9379.784,1819.131,7959.012
FL02792,8416.243,1760.615,538.578
FL02793,1682.23,4047.074,9057.359
FL02794,4756.678,4247.303,4802.8
FL02795,581.851,4807.663,9917.465
FL02796,3990.533,9026.561,9076.965
FL02797,1216.684,4232.504,954.517
FL02798,9270.09,3647.671,5732.022
FL02799,4101.643,5952.227,7526.871
FL02800,8217.114,5223.908,6012.308
FL02801,9650.209,9046.4,4378.795
FL02802,2857.85,8754.911,3337.025
FL02803,8447.096,3305.723,11370.373
FL02804,9137.308,7532.773,4406.383
FL02805,7671.329,201.945,7533.007
FL02806,7313.603,4872.971,4914.143
FL02807,1272.236,1133.618,9948.777
FL02808,1139.214,8814.279,11853.295
FL02809,9888.327,7199.267,431.694
FL02810,8588.33,5893.255,4502.195
FL02811,404.977,5102.601,6245.427
FL02812,3192.267,4764.592,10054.05
FL02813,6222.177,9069.792,7778.86
FL02814,1195.449,4416.786,7874.469
FL02815,798.27,4357.107,11166.698
FL02816,4694.449,9584.438,11262.017
FL02817,1368.146,3492.727,9217.462
FL02818,5838.113,182.283,10124.491
FL02819,7223.622,9624.03,1357.763
FL02820,1400.995,5153.308,2798.861
FL02821,8857.769,2144.57,8846.679
FL02822,32.337,367.188,582.959
FL02823,1115.6,2074.928,7379.65
FL02824,9308.114,5960.456,8109.658
FL02825,1838.246,6008.583,1976.846
FL02826,8900.924,5061.118,6973.63
FL02827,6926.191,5541.266,10632.32
FL02828,2602.494,9424.156,5940.625
FL02829,2054.508,8462.047,2742.517
FL02830,8124.451,4276.64,2828.487
FL02831,2357.552,5681.945,501.035
FL02832,543.311,5979.132,3926.398
FL02833,3408.246,2585.663,6914.284
FL02834,8166.713,5845.887,2624.316
FL02835,1661.139,2540.14,1802.256
FL02836,8920.383,6227.203,9297.819
FL02837,6646.346,5870.263,9793.336
FL02838,2341.783,8684.386,7203.6
FL02839,9156.648,436.086,9652.382
FL02840,8932.022,340.249,7906.29
FL02841,5644.305,729.198,4920.592
FL02842,9963.634,5425.76,5646.149
FL02843,6660.832,1899.02,10772.457
FL02844,7939.293,851.815,8516.412
FL02845,7802.468,678.954,173.335
FL02846,8757.126,5937.384,6582.95
FL02847,3051.375,7542.761,10183.804
FL02848,9920.973,1609.135,7519.768
FL02849,7441.794,5502.606,11792.644
FL02850,2637.311,3723.255,4641.576
FL02851,743.004,6004.602,9445.144
FL02852,1171.241,7080.7,2021.25
FL02853,7261.805,5629.311,6549.703
FL02854,9717.689,3948.768,8964.045
FL02855,4247.574,6910.836,11193.607
FL02856,5382.241,598.896,4880.657
FL02857,5567.469,3152.186,11214.935
FL02858,6479.851,3089.89,7624.083
FL02859,5881.262,2100.89,7886.018
FL02860,8035.145,5328.151,9218.927
FL02861,8389.965,3719.713,11697.669
FL02862,2593.052,5198.694,11204.379
FL02863,6462.294,1670.764,2719.68
FL02864,7353.863,2149.433,11769.579
FL02865,9641.724,2035.062,4693.383
FL02866,6410.291,1741.072,506.083
FL02867,1220.984,911.895,530.538
FL02868,697.752,9284.703,5619.144
FL02869,5241.516,1986.132,2366.793
FL02870,5948.793,9310.682,6311.883
FL02871,8500.268,3029.513,1833.448
FL02872,8305.019,3725.776,7049.966
FL02873,4848.258,6013.394,11666.316
FL02874,2836.853,4191.886,9407.943
FL02875,4495.223,9433.878,8806.445
FL02876,4823.818,8154.184,6049.513
FL02877,6144.965,2703.729,9527.169
FL02878,85.732,1235.775,3707.708
FL02879,6845.466,2292.914,9156.831
FL02880,4427.647,4493.57,1903.364
FL02881,625.484,8810.674,8381.921
FL02882,3604.211,505.728,2194.81
FL02883,3163.931,4673.486,3320.162
FL02884,8091.358,526.266,9922.596
FL02885,9777.419,7047.25,9240.112
FL02886,396.097,7139.819,3578.385
FL02887,6383.691,1090.366,9704.849
FL02888,323.901,3589.749,1341.169
FL02889,5576.224,5979.055,4660.848
FL02890,9258.522,9657.477,4076.506
FL02891,3165.592,2037.454,7486.48
FL02892,6477.686,9252.62,206.443
FL02893,2223.697,1854.468,6603.894
FL02894,5372.199,9125.29,8429.31
FL02895,9901.358,4432.831,346.203
FL02896,2205.065,2519.168,10867.144
FL02897,8636.692,8968.475,2477.085
FL02898,5564.145,363.209,807.604
FL02899,2767.335,5043.93,465.18
FL02900,5292.452,7893.478,4937.644
FL02901,8258.602,512.142,836.668
FL02902,4353.722,725.023,8921.442
FL02903,483.924,9301.993,3900.691
FL02904,8170.562,4154.395,1264.062
FL02905,4524.029,7308.007,2021.405
FL02906,6921.694,2895.331,1458.425
FL02907,5979.609,8492.281,7498.095
FL02908,4636.281,6037.613,4165.696
FL02909,5206.039,458.698,6889.384
FL02910,8338.3,8623.03,4122.806
FL02911,3664.798,9432.862,3604.1
FL02912,6194.213,9663.345,8552.1
FL02913,5048.339,560.948,11885.605
FL02914,2965.808,7792.941,6360.969
FL02915,1622.795,3801.948,9337.057
FL02916,6176.725,3551.159,1673.414
FL02917,974.308,1241.767,5447.478
FL02918,531.073,7470.163,11196.18
FL02919,5737.842,8431.199,661.783
FL02920,5757.646,5810.634,249.337
FL02921,2092.8,4548.954,10434.595
FL02922,6693.499,6260.132,7274.561
FL02923,5365.236,977.898,10612.824
FL02924,2218.202,7612.892,5820.094
FL02925,9416.879,5419.063,8533.705
FL02926,9241.085,2650.457,11272.096
FL02927,2298.042,1871.622,407.523
FL02928,6019.531,1990.597,10362.105
FL02929,5404.495,1987.016,11245.029
FL02930,1063.319,8.237,498.976
FL02931,9577.364,6080.564,6784.205
FL02932,986.557,6806.858,10312.72
FL02933,6209.801,8177.388,5557.193
FL02934,3450.752,6499.81,9948.835
FL02935,8258.008,722.996,930.041
FL02936,4815.249,1218.987,9299.34
FL02937,6238.787,1501.766,3448.31
FL02938,2513.519,4551.261,7485.191
FL02939,3462.028,1508.921,11526.758
FL02940,5243.537,2035.744,11886.297
FL02941,7983.722,4954.441,11310.121
FL02942,5210.29,3964.301,562.377
FL02943,7769.589,9869.337,8096.054
FL02944,4465.143,9198.901,1051.479
FL02945,4843.076,8998.859,8413.901
FL02946,4571.134,2253.988,10246.214
FL02947,7592.768,5638.81,7258.66
FL02948,4693.945,7892.092,11180.567
FL02949,6303.661,62.659,7393.693
FL02950,3946.92,8175.244,182.783
FL02951,370.438,6716.41,4324.762
FL02952,6815.672,6491.013,11587.582
FL02953,9111.726,3282.344,5490.688
FL02954,9275.293,6342.605,7620.872
FL02955,7969.0,116.044,4071.246
FL02956,8869.638,2850.687,7694.416
FL02957,5544.809,248.53,5190.423
FL02958,3293.406,374.673,5164.071
FL02959,8666.731,8166.19,7251.175
FL02960,3863.566,5010.106,6291.943
FL02961,4514.737,8203.479,5749.047
FL02962,749.094,6558.042,5124.209
FL02963,3089.566,2969.673,2823.417
FL02964,9447.541,7818.245,5387.266
FL02965,5279.237,9779.559,5596.926
FL02966,8510.973,1297.291,7374.231
FL02967,6017.74,2845.269,5729.275
FL02968,8767.876,3003.393,11021.742
FL02969,8624.827,9736.107,5631.328
FL02970,1122.067,85.705,1661.319
FL02971,7167.775,7514.708,7371.862
FL02972,6192.762,93.995,7739.468
FL02973,4112.96,5346.979,410.408
FL02974,6632.996,4706.964,4352.262
FL02975,2.356,9651.298,7525.321
FL02976,9382.864,7718.279,117.192
FL02977,5575.255,1813.263,1229.281
FL02978,1199.294,7218.515,5952.906
FL02979,4633.572,6156.446,5895.004
FL02980,4083.091,6384.378,1823.938
FL02981,7174.242,2063.797,6476.161
FL02982,1291.747,4521.46,4331.513
FL02983,367.798,607.598,3145.68
FL02984,6349.859,5063.083,11384.469
FL02985,9055.405,1230.487,1454.268
FL02986,5171.246,5224.661,5383.464
FL02987,5116.253,8821.34,7979.918
FL02988,2637.664,9688.793,7039.955
FL02989,296.479,7893.126,5021.96
FL02990,9369.167,8483.807,8515.724
FL02991,9372.666,135.653,10915.09
FL02992,5497.489,1109.532,5073.314
FL02993,3675.013,7953.925,6292.213
FL02994,4920.563,5404.796,5867.759
FL02995,8741.332,3530.427,2226.796
FL02996,8206.503,5916.657,6437.037
FL02997,2210.578,7872.567,7764.585
FL02998,377.331,9603.361,416.603
FL02999,3277.426,5106.33,1278.966
FL03000,1803.431,9893.197,5179.674
FL03001,5233.518,3651.937,2743.632
FL03002,6106.555,9233.259,9963.11
FL03003,4384.877,2583.793,4862.125
FL03004,5244.556,4579.942,4347.469
FL03005,2312.407,1513.142,594.506
FL03006,9016.193,2554.857,10953.003
FL03007,4741.84,7986.896,6325.222
FL03008,6342.035,2921.045,5080.187
FL03009,5108.462,7493.6,8833.554
FL03010,6503.48,1721.185,5751.562
FL03011,768.492,3055.733,9413.731
FL03012,8529.143,2583.093,2619.933
FL03013,9450.815,6254.836,4612.351
FL03014,6932.785,3955.996,5337.999
FL03015,7604.925,181.645,5389.135
FL03016,8499.233,8240.417,986.34
FL03017,8667.304,5059.85,10810.68
FL03018,1308.54,5578.505,4869.816
FL03019,5538.847,2392.016,1334.141
FL03020,6651.483,9340.232,5114.263
FL03021,4576.597,9465.098,647.594
FL03022,8453.085,3207.172,9319.811
FL03023,2746.434,6666.634,3305.797
FL03024,2885.26,127.263,9536.259
FL03025,1718.868,236.051,2345.075
FL03026,4469.378,293.222,80.113
FL03027,7409.313,3167.028,7436.198
FL03028,3282.861,5630.886,10647.682
FL03029,5003.085,3393.154,5982.067
FL03030,6674.905,422.109,7130.935
FL03031,356.267,6616.772,1542.04
FL03032,8728.736,6613.386,3556.932
FL03033,7792.559,4805.93,2163.572
FL03034,4988.191,5333.612,5016.172
FL03035,4885.602,9244.876,9378.942
FL03036,4853.784,6265.765,4885.043
FL03037,556.614,6372.627,6483.611
FL03038,9531.149,7020.447,823.854
FL03039,8290.593,1397.02,8424.925
FL03040,7680.412,4320.633,1944.885
FL03041,2545.262,3756.925,3760.475
FL03042,6798.966,4341.172,1536.156
FL03043,5613.884,2248.386,10602.273
FL03044,597.682,6546.426,11729.042
FL03045,4330.274,6356.665,10268.493
FL03046,6912.382,7778.154,6665.895
FL03047,8553.09,6632.86,10276.769
FL03048,6407.209,8064.038,2376.771
FL03049,6163.576,1867.962,5026.866
FL03050,3755.153,2212.006,9571.203
FL03051,5340.711,6094.163,10011.916
FL03052,9953.158,667.949,7264.74
FL03053,6350.436,8735.326,1743.583
FL03054,3320.037,3267.312,354.822
FL03055,934.715,6777.716,3335.63
FL03056,9472.745,1253.205,3470.878
FL03057,2102.125,5753.943,8553.287
FL03058,9942.174,6009.096,764.955
FL03059,5647.123,7151.865,9041.353
FL03060,2056.818,6038.101,9270.154
FL03061,9103.147,160.581,2396.079
FL03062,9263.91,7734.939,8020.441
FL03063,723.538,9732.003,5019.726
FL03064,9951.91,7020.988,819.015
FL03065,6324.571,4444.402,9545.935
FL03066,7586.716,7093.361,4634.924
FL03067,2739.568,1587.997,1282.65
FL03068,5662.226,8533.789,9648.911
FL03069,7879.637,3258.365,6688.869
FL03070,791.035,2883.37,2715.841
FL03071,797.148,527.274,2538.495
FL03072,8076.031,8216.972,1930.275
FL03073,7672.516,2103.165,431.622
FL03074,2279.85,3028.571,2827.885
FL03075,6012.847,6894.171,3326.852
FL03076,8699.881,348.647,5702.252
FL03077,2306.903,8224.354,6892.343
FL03078,886.716,2672.61,643.202
FL03079,1102.099,7638.673,8249.453
FL03080,8270.375,4833.142,9744.15
FL03081,3122.382,7607.632,6662.336
FL03082,3143.15,5760.825,5078.284
FL03083,6482.404,8141.03,8309.952
FL03084,2043.919,3712.506,10246.48
FL03085,7065.827,3051.645,1005.516
FL03086,38.606,7943.017,6016.271
FL03087,1856.71,1644.565,5714.021
FL03088,3687.108,5643.438,2198.626
FL03089,2506.589,3353.088,2417.987
FL03090,5134.083,5141.427,9997.772
FL03091,6075.488,1202.004,8007.868
FL03092,3594.2,3586.739,1102.476
FL03093,5595.905,7514.749,10249.229
FL03094,9865.785,9547.946,10469.675
FL03095,1910.501,3122.813,7905.857
FL03096,6733.109,9315.792,11543.662
FL03097,4814.159,725.313,9548.83
FL03098,1338.395,843.995,1462.885
FL03099,9197.362,8359.787,8785.796
FL03100,1694.517,7525.746,856.754
FL03101,5568.445,29.396,11396.935
FL03102,892.319,6014.895,3885.348
FL03103,6338.816,2098.942,9600.435
FL03104,6604.677,1798.842,1749.945
FL03105,8127.304,2518.24,6416.786
FL03106,9175.633,6898.849,8201.335
FL03107,8323.716,3858.972,6636.981
FL03108,3397.777,4105.732,3866.248
FL03109,6822.592,3610.222,8086.766
FL03110,2980.316,4528.67,10794.203
FL03111,6505.744,6796.753,8671.986
FL03112,1168.092,2026.614,1621.927
FL03113,5238.656,429.753,8764.527
FL03114,9412.401,8876.381,11289.984
FL03115,5810.581,4161.154,6153.399
FL03116,4265.506,9194.031,2817.654
FL03117,2682.483,3801.79,11626.161
FL03118,6415.347,241.467,9752.432
FL03119,5307.643,3115.141,4093.445
FL03120,4065.802,3081.695,213.291
FL03121,7334.711,259.678,1986.358
FL03122,4741.309,3610.957,6621.279
FL03123,6963.274,6672.392,684.19
FL03124,4778.276,535.41,5.716
FL03125,7498.136,8925.595,10446.94
FL03126,6664.68,5781.48,4759.949
FL03127,789.013,8442.916,8523.945
FL03128,5311.646,9828.46,9277.08
FL03129,5805.641,6212.287,5635.81
FL03130,779.635,4924.037,6649.067
FL03131,4417.95,5305.524,11283.253
FL03132,9366.206,1969.275,7932.653
FL03133,9509.138,7938.666,7310.949
FL03134,7046.54,5321.943,7498.163
FL03135,3733.858,9782.931,7859.496
FL03136,9956.727,5515.225,2470.916
FL03137,9358.425,3596.675,6052.055
FL03138,4664.905,2421.831,2853.699
FL03139,377.18,6672.702,598.291
FL03140,9172.924,9452.99,7513.161
FL03141,8311.716,5070.796,7150.615
FL03142,778.682,3684.417,11669.824
FL03143,1601.571,6929.055,5356.771
FL03144,5289.563,2657.198,4734.83
FL03145,5702.559,8637.116,1931.628
FL03146,2470.812,669.679,741.234
FL03147,6297.922,8920.513,2887.645
FL03148,7885.422,7506.116,1723.463
FL03149,9745.823,8517.191,6031.239
FL03150,1869.823,8297.563,8966.338
FL03151,8327.416,9788.929,8606.872
FL03152,245.036,9623.078,8747.198
FL03153,2712.507,8925.043,7151.6
FL03154,7802.579,3030.032,3271.323
FL03155,2565.694,802.016,10427.426
FL03156,9724.871,9247.891,8224.093
FL03157,709.052,809.788,2213.08
FL03158,3486.651,7706.235,8853.862
FL03159,9036.593,2031.897,10766.405
FL03160,3146.955,8430.444,2901.237
FL03161,1630.059,1490.467,11449.554
FL03162,9535.01,2474.501,11896.535
FL03163,7183.764,8369.103,1145.52
FL03164,3212.38,3060.05,1294.214
FL03165,6286.634,8749.066,6567.736
FL03166,9868.402,3904.179,2785.29
FL03167,8008.995,4690.222,5822.924
FL03168,3455.944,5531.245,8345.883
FL03169,8636.654,1859.377,8970.657
FL03170,7936.374,4907.968,5557.48
FL03171,4679.788,7027.084,9811.894
FL03172,8606.077,4977.23,4778.237
FL03173,4467.88,6866.069,1222.71
FL03174,6116.658,2521.103,5646.713
FL03175,4009.502,3645.876,5390.886
FL03176,7169.781,8827.504,6321.201
FL03177,208.479,396.877,1591.372
FL03178,6776.813,2199.512,11872.739
FL03179,263.562,4462.436,7960.384
FL03180,6856.159,946.152,6214.499
FL03181,872.751,9383.574,10974.573
FL03182,9396.233,4009.479,5283.412
FL03183,2089.366,543.235,1368.586
FL03184,5240.61,2226.803,6727.466
FL03185,322.221,6350.312,4992.491
FL03186,2290.96,2571.896,5662.265
FL03187,9777.833,211.959,6264.631
FL03188,1123.727,1339.789,8154.926
FL03189,8917.179,6260.882,1464.663
FL03190,1072.617,6951.592,951.242
FL03191,2950.279,1166.119,1998.394
FL03192,152.457,4356.139,7447.946
FL03193,1277.873,1187.932,10190.37
FL03194,1088.734,3147.099,71.39
FL03195,8840.777,7521.165,106.776
FL03196,7013.899,7816.239,5755.902
FL03197,6679.147,8591.635,11231.169
FL03198,6402.809,9177.752,7350.201
FL03199,5855.354,3294.166,6467.473
FL03200,9735.292,4744.556,5048.772
FL03201,2423.404,2183.633,1516.13
FL03202,5418.919,978.67,6286.381
FL03203,2453.286,2957.219,4395.319
FL03204,6363.426,9581.273,7613.123
FL03205,8426.008,8241.54,11215.984
FL03206,2303.89,8847.967,6051.206
FL03207,1966.222,5566.928,3691.09
FL03208,5916.847,8392.588,11021.037
FL03209,3756.047,6636.186,9497.376
FL03210,5756.17,7042.739,4087.834
FL03211,9401.308,9570.071,7715.332
FL03212,4288.975,3461.931,10539.171
FL03213,9032.935,7353.894,9441.598
FL03214,1402.375,1083.734,6775.42
FL03215,6767.442,3279.171,2018.105
FL03216,4802.007,9436.949,5144.419
FL03217,1109.061,2346.594,5395.61
FL03218,8590.351,252.865,9778.507
FL03219,6215.517,9543.422,10853.809
FL03220,3598.032,9170.917,1617.986
FL03221,8162.998,4757.641,3188.882
FL03222,6577.591,5416.417,2238.468
FL03223,1017.958,5100.475,2507.933
FL03224,9799.742,1337.947,11946.298
FL03225,9220.751,2186.243,753.877
FL03226,4159.793,5632.288,3223.283
FL03227,4565.164,3630.046,6368.483
FL03228,2436.239,8550.751,4140.835
FL03229,9364.194,8951.099,7893.356
FL03230,2686.571,6461.953,2167.48
FL03231,1139.196,3351.907,1056.007
FL03232,29.731,5275.527,7029.852
FL03233,730.58,5237.193,3125.829
FL03234,8064.866,9958.204,2491.54
FL03235,3799.076,9099.202,8369.833
FL03236,2242.639,9740.159,10288.354
FL03237,6024.479,6797.338,8800.568
FL03238,8903.701,3737.385,9671.85
FL03239,4881.369,5803.651,1166.999
FL03240,5577.721,993.691,9675.948
FL03241,2756.557,7453.529,7223.122
FL03242,6893.938,3169.598,5463.323
FL03243,1725.205,5476.95,10821.691
FL03244,8305.299,4465.697,8653.565
FL03245,3821.011,4139.764,11236.047
FL03246,4944.477,2593.811,10960.884
FL03247,8783.348,6800.274,4410.674
FL03248,1880.023,3019.286,5060.488
FL03249,7429.608,3340.602,11372.154
FL03250,1293.691,2242.814,60.652
FL03251,7218.428,7829.495,636.693
FL03252,3189.459,4020.131,4270.425
FL03253,7956.9,8964.425,8645.366
FL03254,7699.153,6380.467,1183.632
FL03255,884.86,6475.824,2281.761
FL03256,1146.301,5019.632,10505.289
FL03257,3750.141,7547.426,8534.836
FL03258,9333.014,1773.385,7826.895
FL03259,4230.283,7583.15,10179.129
FL03260,6045.493,8782.788,3192.3
FL03261,6007.32,3925.966,2698.106
FL03262,9384.334,4569.685,6672.539
FL03263,8609.34,5787.141,4411.928
FL03264,3855.504,2145.197,4338.222
FL03265,1494.474,4022.686,7855.167
FL03266,9938.614,3635.595,1289.312
FL03267,3047.808,2097.371,8500.471
FL03268,6582.77,3482.418,1009.259
FL03269,6971.249,9285.99,6476.191
FL03270,1951.473,267.708,9099.257
FL03271,2030.633,422.001,9196.688
FL03272,6745.254,9952.34,8949.754
FL03273,4046.401,5584.192,5763.763
FL03274,5261.625,9556.631,9538.052
FL03275,1412.036,4411.128,10607.579
FL03276,7967.432,1854.932,6297.06
FL03277,9571.887,1026.887,6096.357
FL03278,2847.382,3776.769,349.52
FL03279,1418.076,2850.866,8479.525
FL03280,6004.787,7639.194,3783.538
FL03281,8699.649,3376.581,2360.877
FL03282,8573.125,2090.58,6029.088
FL03283,8475.626,2657.334,10832.027
FL03284,7250.983,480.931,4093.658
FL03285,9132.942,6096.516,4898.82
FL03286,6528.63,3782.913,4997.079
FL03287,5362.974,73.453,4271.728
FL03288,4101.453,2252.389,8542.659
FL03289,7709.068,4795.954,8142.198
FL03290,6165.069,8721.256,1389.672
FL03291,5935.841,2400.519,11723.193
FL03292,2175.347,2937.426,7908.248
FL03293,1692.91,6258.475,8896.525
FL03294,1517.281,6588.138,4180.415
FL03295,5012.507,739.996,2208.505
FL03296,2063.721,4068.502,5624.073
FL03297,5043.67,3372.126,5359.065
FL03298,6536.826,6259.415,339.179
FL03299,9636.334,5988.178,9943.45
FL03300,4920.822,3090.308,6901.022
FL03301,1904.094,7486.89,3400.735
FL03302,6493.843,3210.131,10493.514
FL03303,342.901,5841.336,1385.407
FL03304,7439.884,5102.272,11164.667
FL03305,9424.08,5199.503,220.681
FL03306,5466.702,7002.636,466.676
FL03307,6037.951,4103.805,2272.303
FL03308,2987.513,3648.256,5627.547
FL03309,9598.061,5547.571,4848.489
FL03310,9582.728,7934.244,9953.223
FL03311,415.472,5123.246,455.818
FL03312,3540.578,6322.768,4742.961
FL03313,6802.312,5379.299,7675.236
FL03314,4719.94,2113.582,1096.635
FL03315,3050.265,721.352,2529.098
FL03316,8821.514,5977.087,5078.184
FL03317,1059.942,2563.323,157.676
FL03318,7131.983,7084.136,5580.068
FL03319,8492.079,3088.539,1362.294
FL03320,5251.463,9689.317,4775.142
FL03321,1610.352,5120.014,1402.19
FL03322,6865.639,9155.894,5672.644
FL03323,8603.92,7696.858,1001.724
FL03324,6465.357,8144.332,5091.146
FL03325,8737.545,7426.226,8309.7
FL03326,744.859,7821.128,7250.643
FL03327,7290.454,7377.013,3267.337
FL03328,1107.345,6179.877,7397.301
FL03329,3116.842,1112.799,509.667
FL03330,8363.947,4107.47,9924.549
FL03331,6498.146,6534.939,4892.811
FL03332,107.752,8822.133,3586.736
FL03333,6251.257,2108.152,4470.494
FL03334,5578.553,6228.163,2667.148
FL03335,58.989,689.8,8789.094
FL03336,719.445,459.697,5971.95
FL03337,777.635,2070.316,9882.43
FL03338,9807.785,7396.972,9987.1
FL03339,476.828,5917.105,9165.038
FL03340,38.174,2478.61,11990.623
FL03341,2348.89,6787.877,11311.411
FL03342,8883.234,3953.319,594.551
FL03343,289.779,7715.859,490.016
FL03344,1676.885,9456.14,1078.434
FL03345,8878.28,66.085,1227.871
FL03346,3078.734,379.66,5122.395
FL03347,7448.774,3983.01,4506.545
FL03348,3764.843,369.73,682.316
FL03349,9164.261,8848.542,6034.019
FL03350,1751.701,9775.854,1075.744
FL03351,7237.276,7727.663,6838.527
FL03352,2033.597,5961.232,6945.56
FL03353,6473.306,513.613,9409.836
FL03354,7810.042,8777.988,9191.389
FL03355,3634.562,9732.901,5367.548
FL03356,5522.679,3015.774,4308.38
FL03357,6823.261,3290.856,10579.155
FL03358,2380.866,7799.541,10204.413
FL03359,1907.921,7416.105,9331.179
FL03360,7041.025,3204.51,3594.624
FL03361,4543.828,6429.504,1492.054
FL03362,5052.1,8718.942,3239.478
FL03363,747.102,5653.624,994.257
FL03364,1609.678,7095.823,10692.721
FL03365,6531.929,2432.707,1600.584
FL03366,324.525,999.539,2562.539
FL03367,1537.713,6871.664,5506.739
FL03368,6875.828,3453.523,5430.223
FL03369,7279.354,4048.42,8863.998
FL03370,8291.242,5422.462,9264.007
FL03371,1193.821,2962.494,9905.932
FL03372,5426.661,9524.555,992.356
FL03373,1362.226,7461.152,11462.772
FL03374,6228.164,4905.016,10202.659
FL03375,373.644,4574.653,1498.305
FL03376,1833.768,7470.541,1780.874
FL03377,3419.733,1679.444,4946.552
FL03378,5324.239,938.263,323.08
FL03379,471.079,3323.231,9018.62
FL03380,3858.184,8651.439,2376.51
FL03381,1997.159,6488.478,5261.742
FL03382,9054.906,3471.798,3516.599
FL03383,991.338,6256.856,5423.423
FL03384,3838.477,8996.787,133.98
FL03385,6733.727,7329.378,8885.833
FL03386,2692.92,5787.263,9220.766
FL03387,9036.406,5628.492,10222.009
FL03388,9565.219,9616.482,4821.108
FL03389,7586.297,4106.259,3959.208
FL03390,7604.911,5799.897,10981.558
FL03391,2733.569,4839.965,6193.19
FL03392,1604.337,7498.05,6339.75
FL03393,860.096,8272.825,6246.412
FL03394,5562.489,3393.081,11962.964
FL03395,2690.547,8216.448,8658.546
FL03396,5999.739,6174.687,11395.399
FL03397,3428.564,6851.0,7557.004
FL03398,5688.994,6768.765,11418.426
FL03399,3035.856,5092.871,7363.148
FL03400,4886.061,1945.088,5079.118
FL03401,5970.668,7716.188,2429.92
FL03402,3735.293,3007.878,4852.154
FL03403,4099.681,2690.248,9375.628
FL03404,1392.732,9391.261,1811.53
FL03405,5020.588,7325.443,10643.039
FL03406,191.834,7946.685,10785.883
FL03407,9719.431,169.959,10157.147
FL03408,2003.936,8484.342,10028.583
FL03409,3001.874,4249.694,7849.458
FL03410,3514.313,6163.423,2383.387
FL03411,46.115,7208.388,5518.415
FL03412,8195.024,6247.644,1416.99
FL03413,8980.119,3918.276,1420.644
FL03414,8187.258,5530.474,10414.292
FL03415,5356.522,7220.013,6681.048
FL03416,6508.883,549.866,3194.755
FL03417,6697.841,9857.961,11980.913
FL03418,4930.521,7172.795,4750.232
FL03419,5092.198,2518.5,9341.284
FL03420,1395.78,5973.088,11128.501
FL03421,8394.452,3829.329,453.45
FL03422,1707.069,3116.91,10471.805
FL03423,8197.694,3879.626,9889.932
FL03424,6802.379,8691.018,8343.787
FL03425,8702.455,2023.113,10415.215
FL03426,7507.605,7507.807,5907.122
FL03427,3441.446,8535.61,4712.117
FL03428,9107.85,8245.978,9982.81
FL03429,3321.598,2804.266,11475.729
FL03430,8634.031,5477.506,8756.429
FL03431,3190.992,8589.78,6049.168
FL03432,4223.854,2564.857,1074.438
FL03433,4241.753,2222.972,10520.949
FL03434,5999.594,230.408,4480.118
FL03435,4311.395,7979.696,2795.737
FL03436,4158.788,317.746,5487.152
FL03437,1328.759,1850.909,1749.838
FL03438,7104.325,791.033,4742.529
FL03439,1220.726,6551.871,9012.566
FL03440,379.926,5925.331,2564.242
FL03441,1975.388,2520.842,9541.784
FL03442,1187.492,7660.485,6148.459
FL03443,3538.009,624.236,3132.572
FL03444,3296.743,8285.213,8811.019
FL03445,1321.432,7123.54,9374.666
FL03446,9774.995,5355.661,9636.903
FL03447,1624.645,6550.412,4581.219
FL03448,1035.837,5136.949,6534.043
FL03449,5792.677,2642.34,6720.928
FL03450,1107.114,5710.072,4034.484
FL03451,7393.287,2709.591,10854.055
FL03452,567.214,9004.763,6279.232
FL03453,1661.142,3210.242,430.674
FL03454,2635.164,5764.633,1625.287
FL03455,4729.339,1228.221,646.782
FL03456,3519.613,298.04,7918.693
FL03457,4413.359,272.287,1220.494
FL03458,5486.849,1095.012,5090.877
FL03459,1701.776,9312.013,7282.692
FL03460,9935.761,2311.044,10986.965
FL03461,6255.808,3910.944,7780.358
FL03462,3797.656,4685.301,11779.72
FL03463,9973.146,9589.819,2401.5
FL03464,3424.8,5826.476,10858.287
FL03465,9769.94,842.232,4461.779
FL03466,2372.867,7387.274,3678.691
FL03467,2451.638,9612.678,6991.821
FL03468,101.194,338.144,11334.948
FL03469,607.824,1557.369,8161.935
FL03470,1615.68,4261.814,2303.754
FL03471,858.881,6949.76,3249.685
FL03472,1206.32,3688.115,1868.065
FL03473,4363.982,3776.443,11948.825
FL03474,8609.014,6232.88,7469.128
FL03475,1301.439,9333.49,3574.669
FL03476,3750.398,2909.492,3917.871
FL03477,3608.94,5842.75,4644.578
FL03478,8063.285,9624.939,6616.724
FL03479,8992.209,3581.137,10737.331
FL03480,6263.459,1725.951,4544.36
FL03481,9437.054,854.404,8054.892
FL03482,743.382,7911.461,10622.392
FL03483,5069.086,9668.156,3750.998
FL03484,5474.919,1162.847,744.154
FL03485,6865.928,2655.181,1524.414
FL03486,5640.049,8639.904,8307.52
FL03487,7806.694,6610.509,6300.406
FL03488,8080.224,2170.327,9773.897
FL03489,5521.099,6096.208,6646.584
FL03490,5952.707,8579.408,8655.891
